cohort,class,n,precision,recall,f1
aria,NORMAL,0,,,
aria,AMD,2,1.0,1.0,1.0
aria,DIABETIC,0,,,
aria,CATARACT,0,,,
aria,MACRO (1 cls),2,1.0,1.0,1.0
bare,NORMAL,0,,,
bare,AMD,21,0.7647,0.619,0.6842
bare,DIABETIC,40,0.8571,0.9,0.878
bare,CATARACT,0,,,
bare,MACRO (2 cls),61,0.8109,0.7595,0.7811
img,NORMAL,0,,,
img,AMD,6,0.8571,1.0,0.9231
img,DIABETIC,0,,,
img,CATARACT,11,1.0,0.8182,0.9
img,MACRO (2 cls),17,0.9286,0.9091,0.9115
odir,NORMAL,98,0.8558,0.9082,0.8812
odir,AMD,51,0.6923,0.8824,0.7759
odir,DIABETIC,55,0.7692,0.5455,0.6383
odir,CATARACT,45,1.0,0.9111,0.9535
odir,MACRO (4 cls),249,0.8293,0.8118,0.8122
other,NORMAL,0,,,
other,AMD,0,,,
other,DIABETIC,0,,,
other,CATARACT,35,1.0,1.0,1.0
other,MACRO (1 cls),35,1.0,1.0,1.0
