epoch,iter,loss_G,loss_D_A,loss_D_B,loss_gan,loss_cycle,loss_identity,lr,seconds
0,1,30.4054,2.1526,2.7397,6.2633,15.9447,8.1974,0.0002,1.8
0,101,3.3511,0.2477,0.2355,0.6659,1.7894,0.8958,0.0002,82.3
0,201,3.4551,0.2646,0.244,0.7512,1.78,0.924,0.0002,169.1
0,301,3.4156,0.1672,0.2524,0.7588,1.8523,0.8045,0.0002,255.8
0,401,3.7327,0.2247,0.6842,0.9573,1.8794,0.8959,0.0002,342.7
0,501,3.0499,0.2921,0.2402,0.7588,1.5684,0.7227,0.0002,430.2
0,601,3.1148,0.2104,0.2132,0.8281,1.5355,0.7512,0.0002,517.0
0,701,2.7439,0.2031,0.3204,0.8617,1.3049,0.5773,0.0002,603.6
0,801,2.4508,0.1976,0.3444,0.7581,1.1312,0.5615,0.0002,690.3
0,901,3.0374,0.2252,0.2205,0.8308,1.4917,0.7149,0.0002,777.0
0,1001,2.7264,0.2184,0.2486,0.5333,1.4729,0.7202,0.0002,864.6
0,1003,2.5412,0.181,0.2394,0.6469,1.2907,0.6037,0.0002,866.3
1,1004,2.7623,0.1715,0.2008,0.7829,1.366,0.6133,0.0002,868.4
1,1104,2.1831,0.2882,0.2594,0.6005,1.0809,0.5017,0.0002,955.3
1,1204,2.44,0.161,0.2213,0.7534,1.1526,0.5341,0.0002,1041.9
1,1304,2.8528,0.2296,0.2802,0.8269,1.3937,0.6322,0.0002,1128.7
1,1404,3.4032,0.1884,0.2403,0.818,1.7843,0.8009,0.0002,1215.6
1,1504,2.7159,0.2547,0.2456,0.9098,1.2276,0.5785,0.0002,1303.2
1,1604,2.2214,0.1827,0.2221,0.6676,1.0484,0.5054,0.0002,1390.2
1,1704,2.8769,0.242,0.2399,0.5628,1.5987,0.7154,0.0002,1477.1
1,1804,2.5747,0.1573,0.2062,0.6626,1.3267,0.5854,0.0002,1563.9
1,1904,3.0126,0.1366,0.2999,0.7855,1.5401,0.6869,0.0002,1650.7
1,2004,2.8602,0.1265,0.1955,0.7675,1.4398,0.653,0.0002,1738.3
1,2006,2.8203,0.1875,0.2049,0.6834,1.4886,0.6483,0.0002,1740.0
2,2007,2.5057,0.1457,0.2286,0.7099,1.2315,0.5643,0.0002,1742.1
2,2107,2.6717,0.1261,0.2249,1.0593,1.0951,0.5172,0.0002,1829.0
2,2207,2.9668,0.1091,0.177,0.7706,1.4869,0.7093,0.0002,1915.8
2,2307,2.9639,0.0637,0.1867,1.0046,1.3578,0.6015,0.0002,2002.7
2,2407,2.2944,0.1023,0.2061,0.3822,1.2918,0.6204,0.0002,2089.6
2,2507,4.2964,0.4,0.1426,1.5289,2.0002,0.7673,0.0002,2177.1
2,2607,2.4763,0.2211,0.2036,0.573,1.3047,0.5985,0.0002,2264.0
2,2707,2.7217,0.0572,0.2166,0.8075,1.2814,0.6327,0.0002,2350.9
2,2807,2.8992,0.0484,0.1719,1.4291,0.9923,0.4778,0.0002,2437.7
2,2907,2.3451,0.1404,0.277,0.5859,1.2093,0.5499,0.0002,2524.8
2,3007,3.3544,0.268,0.3431,1.7732,1.0943,0.4869,0.0002,2612.5
2,3009,3.0705,0.0747,0.1438,1.4186,1.1254,0.5265,0.0002,2614.2
3,3010,3.0237,0.0814,0.1118,1.2543,1.1901,0.5793,0.0002,2616.3
3,3110,3.2434,0.167,0.0707,1.0805,1.5048,0.6581,0.0002,2703.3
3,3210,3.231,0.0658,0.4732,1.7232,1.004,0.5038,0.0002,2790.0
3,3310,3.4549,0.1474,0.1335,1.7367,1.1941,0.5242,0.0002,2876.7
3,3410,3.5082,0.0626,0.1654,1.4135,1.4656,0.6291,0.0002,2963.7
3,3510,2.4042,0.0969,0.3321,0.7238,1.1825,0.4979,0.0002,3051.5
3,3610,2.5029,0.1281,0.1352,0.7257,1.2222,0.555,0.0002,3138.3
3,3710,2.6798,0.1196,0.1316,1.125,1.0712,0.4836,0.0002,3225.1
3,3810,2.7737,0.0747,0.1148,1.1541,1.0963,0.5232,0.0002,3311.9
3,3910,2.752,0.0744,0.1515,1.2217,1.039,0.4914,0.0002,3398.7
3,4010,2.9925,0.1145,0.149,1.5643,0.98,0.4481,0.0002,3486.4
3,4012,3.5613,0.0839,0.6479,1.7904,1.218,0.5529,0.0002,3488.1
4,4013,2.387,0.1478,0.311,1.0228,0.9407,0.4235,0.0002,3490.3
4,4113,2.7642,0.1164,0.1607,1.3083,0.9994,0.4565,0.0002,3577.1
4,4213,2.9858,0.1862,0.0846,1.0987,1.2756,0.6114,0.0002,3664.1
4,4313,3.0841,0.0458,0.2744,1.4589,1.1453,0.48,0.0002,3750.9
4,4413,3.3349,0.0718,0.1419,1.8237,1.0272,0.4841,0.0002,3837.6
4,4513,2.5332,0.2123,0.1398,0.7954,1.1997,0.5381,0.0002,3925.3
4,4613,2.4914,0.0612,0.1214,0.936,1.0647,0.4907,0.0002,4012.0
4,4713,3.5455,0.0303,0.0339,2.0847,0.9983,0.4625,0.0002,4098.8
4,4813,2.2938,0.0332,0.2452,0.8634,0.9818,0.4487,0.0002,4185.7
4,4913,2.9682,0.0396,0.2336,1.5783,0.9762,0.4137,0.0002,4272.5
4,5013,3.2709,0.0224,0.0602,1.4038,1.293,0.5742,0.0002,4360.1
4,5015,3.3247,0.0254,0.0739,1.7639,1.088,0.4728,0.0002,4361.9
5,5016,3.0427,0.0335,0.0304,1.5619,1.0283,0.4525,0.0002,4364.0
5,5116,4.2166,0.2045,0.035,2.3934,1.264,0.5592,0.0002,4450.8
5,5216,3.446,0.1058,0.0216,1.5633,1.3292,0.5535,0.0002,4537.6
5,5316,2.4946,0.1152,0.3044,0.9359,1.0668,0.4918,0.0002,4624.6
5,5416,2.5906,0.0969,0.122,0.797,1.239,0.5547,0.0002,4711.6
5,5516,3.3223,0.0331,0.199,1.7838,1.0445,0.4939,0.0002,4799.2
5,5616,2.4974,0.0741,0.2038,1.1555,0.9291,0.4127,0.0002,4886.0
5,5716,3.3708,0.0412,0.1869,1.7935,1.0884,0.4888,0.0002,4972.8
5,5816,2.6735,0.0218,0.2164,0.9616,1.1587,0.5532,0.0002,5059.7
5,5916,2.7728,0.0337,0.064,1.0333,1.1976,0.5419,0.0002,5146.5
5,6016,2.8829,0.1023,0.0977,1.4449,0.9938,0.4442,0.0002,5234.2
5,6018,2.6272,0.122,0.1026,1.2735,0.9294,0.4243,0.0002,5236.0
6,6019,2.2233,0.2011,0.1589,0.9398,0.8672,0.4163,0.0002,5238.1
6,6119,1.8013,0.4134,0.1426,0.5351,0.8598,0.4064,0.0002,5325.1
6,6219,3.4127,0.0201,0.0562,1.7341,1.1739,0.5048,0.0002,5412.1
6,6319,2.7242,0.0242,0.0441,1.1867,1.064,0.4734,0.0002,5498.9
6,6419,2.7732,0.0255,0.1224,1.1236,1.1614,0.4882,0.0002,5585.7
6,6519,6.2974,0.0101,0.3038,1.4399,3.591,1.2665,0.0002,5673.3
6,6619,2.599,0.0435,0.228,0.8479,1.2142,0.5369,0.0002,5760.0
6,6719,2.9656,0.025,0.2277,1.2189,1.2006,0.5462,0.0002,5846.8
6,6819,2.7257,0.0108,0.2387,1.0937,1.1,0.5321,0.0002,5933.7
6,6919,2.9243,0.0144,0.2462,1.4128,1.0316,0.4799,0.0002,6020.5
6,7019,2.5728,0.0085,0.2408,1.2513,0.9101,0.4114,0.0002,6108.0
6,7021,2.4449,0.0059,0.2436,1.201,0.8536,0.3903,0.0002,6109.7
7,7022,2.6264,0.0049,0.2289,1.2378,0.9332,0.4553,0.0001666666666666667,6111.8
7,7122,2.3797,0.0381,0.2472,0.8829,1.0299,0.4668,0.0001666666666666667,6198.7
7,7222,2.2036,0.1078,0.2254,0.8629,0.9133,0.4274,0.0001666666666666667,6285.5
7,7322,2.8368,0.2071,0.2294,1.4317,0.9687,0.4364,0.0001666666666666667,6372.4
7,7422,2.7752,0.068,0.2525,1.1712,1.1082,0.4958,0.0001666666666666667,6459.4
7,7522,2.0819,0.0608,0.2445,0.7839,0.8872,0.4108,0.0001666666666666667,6547.0
7,7622,2.9194,0.007,0.2389,1.3009,1.1156,0.5029,0.0001666666666666667,6633.8
7,7722,2.5115,0.1008,0.2637,1.1161,0.9259,0.4694,0.0001666666666666667,6720.6
7,7822,1.9755,0.0562,0.2309,0.6405,0.9248,0.4103,0.0001666666666666667,6807.3
7,7922,1.9545,0.1702,0.2531,0.455,1.0576,0.4418,0.0001666666666666667,6894.1
7,8022,2.4017,0.0258,0.2294,1.1966,0.8258,0.3793,0.0001666666666666667,6981.9
7,8024,2.4253,0.0193,0.2353,1.1425,0.8953,0.3875,0.0001666666666666667,6983.6
8,8025,2.5202,0.0272,0.2267,1.1589,0.9392,0.4221,0.00013333333333333337,6985.7
8,8125,2.6444,0.013,0.23,1.2618,0.9533,0.4293,0.00013333333333333337,7072.5
8,8225,2.0186,0.0242,0.2462,0.9018,0.7671,0.3498,0.00013333333333333337,7159.4
8,8325,2.9178,0.0428,0.2513,1.6239,0.8854,0.4084,0.00013333333333333337,7246.3
8,8425,2.6704,0.0131,0.1714,1.058,1.138,0.4744,0.00013333333333333337,7333.3
8,8525,2.9643,0.0186,0.2412,1.6376,0.8857,0.441,0.00013333333333333337,7421.0
8,8625,3.0377,0.0207,0.2307,1.6597,0.9412,0.4367,0.00013333333333333337,7507.8
8,8725,2.394,0.0591,0.214,1.2829,0.7618,0.3492,0.00013333333333333337,7594.5
8,8825,1.835,0.0743,0.2193,0.6487,0.8135,0.3729,0.00013333333333333337,7681.2
8,8925,2.7039,0.0107,0.2524,1.224,1.0282,0.4517,0.00013333333333333337,7767.9
8,9025,2.8547,0.2695,0.2458,1.4231,0.9928,0.4388,0.00013333333333333337,7855.4
