epoch,iter,loss_G,loss_D_A,loss_D_B,loss_gan,loss_cycle,loss_identity,lr,seconds
0,1,30.4054,2.1526,2.7397,6.2633,15.9447,8.1974,0.0002,2.9
0,101,3.3501,0.2531,0.2367,0.6615,1.7883,0.9003,0.0002,83.7
0,201,3.5005,0.2599,0.2569,0.7878,1.8012,0.9115,0.0002,170.1
0,301,3.2402,0.1704,0.2432,0.7397,1.7035,0.797,0.0002,256.2
0,401,3.7094,0.225,0.2837,0.5712,2.1419,0.9963,0.0002,342.3
0,501,3.173,0.3171,0.3074,0.8485,1.6084,0.716,0.0002,429.2
0,601,3.5206,0.2303,0.1859,0.8596,1.7976,0.8634,0.0002,515.2
0,701,2.5573,0.182,0.2541,0.7264,1.2621,0.5688,0.0002,601.2
0,801,2.4725,0.192,0.2796,0.6892,1.1983,0.585,0.0002,687.2
0,901,2.8871,0.2214,0.2607,0.8323,1.4039,0.6509,0.0002,773.3
0,1001,2.9055,0.2287,0.2486,0.4982,1.6205,0.7868,0.0002,860.2
0,1003,2.5062,0.1953,0.2564,0.6065,1.2908,0.6088,0.0002,862.0
1,1004,2.848,0.1789,0.2035,0.9129,1.3322,0.6028,0.0002,864.0
1,1104,2.162,0.2441,0.2626,0.6045,1.0731,0.4843,0.0002,950.2
1,1204,2.9805,0.1605,0.2723,0.8987,1.4308,0.6511,0.0002,1036.4
1,1304,3.1973,0.2537,0.3392,1.0591,1.4721,0.6662,0.0002,1122.7
1,1404,3.1783,0.1805,0.1976,0.7354,1.678,0.7649,0.0002,1209.0
1,1504,2.8235,0.3276,0.2979,0.9763,1.2336,0.6137,0.0002,1296.1
1,1604,2.4587,0.2099,0.2251,0.5883,1.2971,0.5734,0.0002,1382.3
1,1704,3.0194,0.1691,0.2238,0.6639,1.6101,0.7454,0.0002,1468.5
1,1804,2.8242,0.1444,0.2585,0.9048,1.3088,0.6106,0.0002,1554.7
1,1904,3.024,0.1031,0.2725,1.0516,1.3727,0.5998,0.0002,1640.9
1,2004,2.5212,0.1444,0.2474,0.5149,1.3687,0.6376,0.0002,1728.0
1,2006,2.6117,0.2458,0.2404,0.5337,1.4474,0.6306,0.0002,1729.7
2,2007,2.6081,0.2306,0.2664,0.8276,1.2328,0.5478,0.0002,1731.9
2,2107,2.5094,0.1408,0.3153,0.759,1.1961,0.5543,0.0002,1818.2
2,2207,2.67,0.0997,0.2506,0.8971,1.2092,0.5637,0.0002,1904.6
2,2307,2.8016,0.1692,0.1658,0.7895,1.4086,0.6034,0.0002,1990.9
2,2407,3.0249,0.0643,0.2217,1.0628,1.3589,0.6032,0.0002,2077.1
2,2507,3.1101,0.0911,0.1385,0.8119,1.6444,0.6538,0.0002,2164.3
2,2607,3.3868,0.0352,0.25,1.3428,1.3904,0.6536,0.0002,2250.6
2,2707,2.8646,0.0652,0.2247,1.1427,1.1941,0.5278,0.0002,2337.0
2,2807,1.8295,0.0785,0.2938,0.3677,0.9817,0.4801,0.0002,2423.4
2,2907,2.3425,0.2155,0.189,0.5307,1.2501,0.5617,0.0002,2509.8
2,3007,2.3729,0.1019,0.2223,0.789,1.1005,0.4835,0.0002,2597.0
2,3009,2.4574,0.0922,0.1787,0.8141,1.1136,0.5296,0.0002,2598.7
3,3010,2.7605,0.0583,0.2134,0.9519,1.2229,0.5857,0.0002,2600.8
3,3110,2.4753,0.057,0.193,0.8469,1.1128,0.5156,0.0002,2687.1
3,3210,2.6755,0.0935,0.1389,0.9507,1.1684,0.5564,0.0002,2773.4
3,3310,3.6246,0.0431,0.2788,1.8795,1.1878,0.5573,0.0002,2859.7
3,3410,4.503,0.0612,0.0848,2.1824,1.5993,0.7213,0.0002,2946.1
3,3510,3.2691,0.0343,0.1882,1.3065,1.4018,0.5608,0.0002,3033.2
3,3610,2.8407,0.0671,0.1283,1.061,1.2081,0.5716,0.0002,3119.6
3,3710,2.3576,0.1455,0.2224,0.7935,1.0831,0.481,0.0002,3206.0
3,3810,2.3048,0.1881,0.2199,0.6567,1.1082,0.54,0.0002,3292.3
3,3910,2.9438,0.1421,0.1449,1.3869,1.0566,0.5003,0.0002,3378.6
3,4010,3.5932,0.0635,0.2647,2.1602,0.9788,0.4543,0.0002,3465.7
3,4012,2.9728,0.1223,0.0735,1.2061,1.2309,0.5358,0.0002,3467.4
4,4013,3.3526,0.1554,0.1117,1.9539,0.9729,0.4258,0.0002,3469.6
4,4113,1.971,0.0894,0.1653,0.4779,1.021,0.472,0.0002,3556.0
4,4213,3.623,0.0283,0.1012,1.576,1.3952,0.6518,0.0002,3642.2
4,4313,3.3903,0.0324,0.0357,1.6324,1.2087,0.5493,0.0002,3728.4
4,4413,3.0738,0.0238,0.2479,1.5437,1.0444,0.4857,0.0002,3814.6
4,4513,2.9481,0.1692,0.1734,1.2661,1.1459,0.5361,0.0002,3901.4
4,4613,2.5952,0.025,0.2619,1.037,1.0639,0.4943,0.0002,3987.6
4,4713,2.1357,0.2288,0.1481,0.7201,0.9664,0.4492,0.0002,4073.9
4,4813,1.9643,0.2213,0.1235,0.4798,1.0188,0.4656,0.0002,4160.1
4,4913,3.0464,0.0344,0.0313,1.5104,1.0821,0.4538,0.0002,4246.3
4,5013,3.3715,0.0389,0.1214,1.7281,1.1361,0.5074,0.0002,4333.2
4,5015,2.7666,0.0395,0.0917,1.1287,1.1752,0.4627,0.0002,4334.9
5,5016,2.529,0.0534,0.1144,1.0854,1.0016,0.4419,0.0002,4336.9
5,5116,2.3236,0.1178,0.0968,0.8466,1.0247,0.4523,0.0002,4423.1
5,5216,2.3918,0.1066,0.2273,0.5979,1.2575,0.5363,0.0002,4509.2
5,5316,3.3792,0.1393,0.2599,1.852,1.0463,0.4809,0.0002,4595.3
5,5416,2.7361,0.1714,0.2265,1.0088,1.1897,0.5376,0.0002,4681.5
5,5516,2.9355,0.0119,0.2017,1.2716,1.1566,0.5073,0.0002,4768.5
5,5616,2.7521,0.065,0.3205,1.4464,0.8822,0.4235,0.0002,4854.7
5,5716,3.6276,0.0166,0.2936,2.0365,1.0915,0.4996,0.0002,4940.9
5,5816,2.964,0.0846,0.1237,1.2354,1.1543,0.5742,0.0002,5027.2
5,5916,2.462,0.1435,0.089,0.7603,1.172,0.5297,0.0002,5113.4
5,6016,2.8342,0.0167,0.1126,1.4101,0.9632,0.4608,0.0002,5200.4
5,6018,3.0294,0.0516,0.1251,1.7344,0.8865,0.4085,0.0002,5202.1
6,6019,2.2884,0.0599,0.1468,0.9864,0.8731,0.4288,0.0002,5204.2
6,6119,3.6654,0.501,0.136,2.1851,1.0127,0.4676,0.0002,5290.5
6,6219,3.1153,0.0102,0.0795,1.4863,1.1291,0.4999,0.0002,5376.7
6,6319,3.1815,0.011,0.1354,1.6161,1.076,0.4894,0.0002,5462.9
6,6419,2.7489,0.0645,0.1192,1.3089,0.9749,0.4652,0.0002,5549.1
6,6519,2.3849,0.0778,0.1362,0.9936,0.9682,0.4231,0.0002,5635.9
6,6619,2.8772,0.0134,0.1745,1.3285,1.0699,0.4788,0.0002,5722.1
6,6719,2.1558,0.0423,0.2604,0.4701,1.1828,0.5028,0.0002,5808.4
6,6819,3.7171,0.0102,0.0196,1.9447,1.2402,0.5323,0.0002,5894.6
6,6919,2.8192,0.0288,0.1533,1.1647,1.1267,0.5279,0.0002,5980.8
6,7019,3.2167,0.0083,0.103,1.8083,0.965,0.4434,0.0002,6067.7
6,7021,1.9753,0.0192,0.2324,0.8398,0.7696,0.3659,0.0002,6069.4
7,7022,3.8553,0.0175,0.3449,2.3352,1.0358,0.4843,0.0001666666666666667,6071.4
7,7122,2.7608,0.0451,0.1266,1.0973,1.1767,0.4868,0.0001666666666666667,6157.6
7,7222,2.8402,0.046,0.1877,1.4034,0.9778,0.459,0.0001666666666666667,6243.9
7,7322,2.6787,0.0065,0.0975,1.2911,0.9529,0.4348,0.0001666666666666667,6330.1
7,7422,3.1059,0.0285,0.0987,1.5823,1.0501,0.4735,0.0001666666666666667,6416.2
7,7522,3.5869,0.1032,0.1849,2.272,0.9045,0.4104,0.0001666666666666667,6503.0
7,7622,3.2021,0.0064,0.0838,1.5301,1.1506,0.5214,0.0001666666666666667,6589.2
7,7722,2.994,0.0153,0.1656,1.2879,1.2096,0.4965,0.0001666666666666667,6675.4
7,7822,2.4709,0.1348,0.1708,1.0383,0.9931,0.4395,0.0001666666666666667,6761.6
7,7922,2.559,0.0186,0.1315,0.9697,1.0895,0.4997,0.0001666666666666667,6847.9
7,8022,2.3244,0.0065,0.2749,1.0285,0.8973,0.3986,0.0001666666666666667,6934.8
7,8024,2.3172,0.0134,0.2299,1.0963,0.8478,0.3731,0.0001666666666666667,6936.5
8,8025,2.7124,0.0132,0.223,1.3649,0.9384,0.4091,0.00013333333333333337,6938.6
8,8125,2.4273,0.009,0.1932,1.0586,0.9405,0.4283,0.00013333333333333337,7024.9
8,8225,2.8781,0.0194,0.0465,1.7245,0.7996,0.3539,0.00013333333333333337,7110.9
8,8325,3.4805,0.0486,0.0831,2.1258,0.9311,0.4237,0.00013333333333333337,7197.0
8,8425,3.1838,0.0084,0.1159,1.5763,1.0975,0.5099,0.00013333333333333337,7283.2
8,8525,2.5559,0.0071,0.0919,1.3619,0.8234,0.3706,0.00013333333333333337,7370.0
8,8625,2.3065,0.1094,0.088,0.8885,0.9743,0.4436,0.00013333333333333337,7456.2
8,8725,2.8008,0.0068,0.0214,1.5373,0.8949,0.3686,0.00013333333333333337,7542.4
